Palabra clave de búsqueda
1 de abril de 2026 - 9 de abril de 2026
Palabra clave de búsqueda,Estado de las palabras clave de búsqueda,Motivos del estado de las palabras clave de búsqueda,Tipo de concordancia de palabra clave de búsqueda,Campaña,Grupo de anuncios,Código de moneda,CPC máximo de palabras clave,Clics,Impr.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.),Conversiones,Conv. post-impresión,Coste/conv.,Tasa de conv.,CPM medio
atlas escolar santillana,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
wider world 3,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
gold experience,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cuentos de lectura infantiles,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
academy stars,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
learn with us 1,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
una vuelta mas,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
santillana uruguay,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
gira molinete,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros intantiles en inglés,En pausa,en pausa; no suele publicarse; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
api contigo,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
paracatun,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
pack sociales,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
destino ciencias,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
preguntografo,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
preguntificos,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
gira molinete 2,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
gira molinete 2 santillana,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
gira molinete 3,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
destino ciencias 4,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ciencias sociales destino ciencias 4,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
gira molinete 1,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Libros | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
agendas,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
papelaria,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
sobres,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lapiceras,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lapices,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
carpetas,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
pizarras,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
marcadores,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
planificador semanal,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lapiceras parker,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
accesorios de escritorio,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
biblioratos,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
la papelaria,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
engrapadoras,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
artículos de oficina,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
la papelaria uruguay,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
agendas 2026,No apto,campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Oficina | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ciberlunes,En pausa,en pausa,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca jugueteria,En pausa,en pausa,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
jugueteria mosca,En pausa,en pausa,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
utiles escolares uruguay,En pausa,en pausa,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochilas mosca,En pausa,en pausa,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
utiles escolares mosca,En pausa,en pausa,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
escolares mosca,En pausa,en pausa,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ciberlunes,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñeca gaby,No apto,grupo de anuncios en pausa,Concordancia exacta,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
productos de barbie,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ver barbie,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca jugueteria,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñeco stitch,No apto,grupo de anuncios en pausa,Concordancia exacta,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñeco zootopia,No apto,grupo de anuncios en pausa,Concordancia exacta,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lego cogo,No apto,grupo de anuncios en pausa,Concordancia de frase,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
barbie muñeca,En pausa,en pausa; grupo de anuncios en pausa,Concordancia de frase,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lego uruguay,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
masa play doh,En pausa,en pausa; grupo de anuncios en pausa,Concordancia de frase,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñeco stitch,No apto,grupo de anuncios en pausa,Concordancia de frase,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñecas lol,No apto,grupo de anuncios en pausa,Concordancia de frase,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca juguetes,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca barbie,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca hot wheels,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca lego,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca juegos de mesa,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñeca lol original,No apto,grupo de anuncios en pausa,Concordancia de frase,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñeca gaby,No apto,grupo de anuncios en pausa,Concordancia de frase,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca puzzles,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca juguetes didacticos,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
catalogo mosca juguetes,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca catalogo de juguetes,En pausa,en pausa; no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca peluches,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
labubu mosca,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mosca juguetes para niños,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguete gaby dollhouse,No apto,grupo de anuncios en pausa,Concordancia de frase,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñeco zootopia,No apto,grupo de anuncios en pausa,Concordancia de frase,Search | Brand (CONV),Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
jugueteria,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes infantiles,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para niños,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos de magia,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes toy story,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos didacticos para ninos,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes magneticos,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tienda juguetes didacticos,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes de aprendizaje,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes didacticos,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
bloques magneticos,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos de experimentos,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
dinosaurios de juguete,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos de ciencia,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juego de quimica,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
playmobil uruguay,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguete steam,En pausa,en pausa; grupo de anuncios en pausa; campaña en pausa; desconocido,Concordancia amplia,Search | Genérico (CONS),Juguetes Steam | Generico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ceramica,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Institucional Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
pinceles,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Institucional Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
acuarelas,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Institucional Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros de arte,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Institucional Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
marcadores acrilicos,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Institucional Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
marcadores posca,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Institucional Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
set da vinci,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Institucional Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
kits de arte,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Institucional Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
set arte acuarela,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Institucional Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
caballete sinoart,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Institucional Arte,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes de madera,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mobiliario infantil de madera,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes de madera para bebés,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
torre de aprendizaje de madera,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes de madera Montessori,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
triángulo Pikler de madera,No apto,no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
rampa escaladora infantil madera,No apto,no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cilindro Pikler,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cubo Pikler de madera,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
caja de luz madera Montessori,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
artículos de madera infantil,No apto,no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juegos Montessori de madera,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tabla curva de madera Montessori,No apto,no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
rampa con escalones de madera,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
silla cubo de madera,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Primera infancia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lienzo,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,14,"0,00%",0,"0,00","20,00%","40,00%","0,00",0,0,0,"0,00"
caballete de mesa,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
atril para pintar,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,3,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
caballete madera,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
portaplanos,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
caballete profesional,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,9,"0,00%",0,"0,00","20,00%","40,00%","0,00",0,0,0,"0,00"
mini caballete de madera,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
precio de atriles para pintar,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cuadros 40x60,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,2,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
soporte pintura,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
caballete para artistas,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
plato para acuarelas,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
caballete chico,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
jugueteria,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,22,"0,00%",0,"0,00","75,00%","75,00%","0,00",0,0,0,"0,00"
tienda de muñecas,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,6,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
juguetes para niños 8 años,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar juguetes baratos,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
fabrica de juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mayorista de juguetes en once,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
supermercado infantil,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
proveedores de juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para niños 5 años,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,1,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
jugueterias en santiago,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes por mayor chile,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
outlet de juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
casa de juguete,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para niños 6 años,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,2,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
juguetes al por mayor,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar juguetes al por mayor,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
jugueteria santiago,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,1,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
mayorista juguetes once,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes al por mayor baratos,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para niñas grandes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
regalos para niñas de 8 años,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",0,1,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
